Episode,Successes,Collisions,Timeouts,Throughput,Steps,Goal_X,Goal_Y,Num_Obstacles,Mode,Fold
96,0,10,0,0.0,32,17.0,17.0,51,clustered,2
97,0,10,0,0.0,30,17.0,17.0,50,clustered,2
98,0,10,0,0.0,48,17.0,17.0,55,clustered,2
99,0,10,0,0.0,46,17.0,17.0,53,clustered,2
100,4,6,0,4.938271604938271,81,17.0,17.0,54,clustered,2
1,0,10,0,0.0,58,17.0,17.0,76,random,3
2,0,10,0,0.0,62,17.0,17.0,88,random,3
3,0,10,0,0.0,31,17.0,17.0,77,random,3
4,0,10,0,0.0,59,17.0,17.0,63,random,3
5,0,10,0,0.0,58,17.0,17.0,67,random,3
6,0,10,0,0.0,45,17.0,17.0,85,random,3
7,0,10,0,0.0,57,17.0,17.0,115,random,3
8,0,10,0,0.0,41,17.0,17.0,70,random,3
9,0,10,0,0.0,64,17.0,17.0,42,random,3
10,0,10,0,0.0,63,17.0,17.0,73,random,3
11,0,10,0,0.0,44,17.0,17.0,65,random,3
12,0,10,0,0.0,49,17.0,17.0,70,random,3
13,1,9,0,1.0309278350515463,97,17.0,17.0,60,random,3
14,0,10,0,0.0,55,17.0,17.0,78,random,3
15,0,10,0,0.0,53,17.0,17.0,70,random,3
16,0,10,0,0.0,64,17.0,17.0,94,random,3
17,0,10,0,0.0,49,17.0,17.0,71,random,3
18,1,9,0,2.2222222222222223,45,17.0,17.0,100,random,3
19,0,10,0,0.0,58,17.0,17.0,61,random,3
20,0,10,0,0.0,67,17.0,17.0,76,random,3
21,0,10,0,0.0,55,17.0,17.0,83,random,3
22,0,10,0,0.0,51,17.0,17.0,66,random,3
23,0,10,0,0.0,55,17.0,17.0,89,random,3
24,1,9,0,1.1627906976744187,86,17.0,17.0,62,random,3
25,0,10,0,0.0,47,17.0,17.0,57,random,3
26,0,10,0,0.0,69,17.0,17.0,61,random,3
27,0,9,1,0.0,800,17.0,17.0,56,random,3
28,0,10,0,0.0,78,17.0,17.0,61,random,3
29,4,6,0,5.88235294117647,68,17.0,17.0,69,random,3
30,0,10,0,0.0,48,17.0,17.0,78,random,3
31,0,10,0,0.0,58,17.0,17.0,70,random,3
32,0,10,0,0.0,59,17.0,17.0,84,random,3
33,0,10,0,0.0,99,17.0,17.0,51,random,3
34,0,10,0,0.0,57,17.0,17.0,50,random,3
35,0,10,0,0.0,70,17.0,17.0,75,random,3
36,0,10,0,0.0,56,17.0,17.0,62,random,3
37,1,9,0,1.7241379310344827,58,17.0,17.0,69,random,3
38,0,10,0,0.0,48,17.0,17.0,91,random,3
39,0,10,0,0.0,60,17.0,17.0,87,random,3
40,2,8,0,3.7037037037037033,54,17.0,17.0,66,random,3
41,0,10,0,0.0,50,17.0,17.0,55,random,3
42,0,10,0,0.0,65,17.0,17.0,69,random,3
43,0,10,0,0.0,49,17.0,17.0,51,random,3
44,0,10,0,0.0,76,17.0,17.0,83,random,3
45,0,10,0,0.0,59,17.0,17.0,65,random,3
46,1,9,0,1.4705882352941175,68,17.0,17.0,92,random,3
47,0,10,0,0.0,49,17.0,17.0,98,random,3
48,0,10,0,0.0,41,17.0,17.0,76,random,3
49,0,10,0,0.0,33,17.0,17.0,66,random,3
50,0,9,1,0.0,800,17.0,17.0,83,random,3
51,0,10,0,0.0,59,17.0,17.0,79,random,3
52,0,9,1,0.0,800,17.0,17.0,71,random,3
53,0,10,0,0.0,60,17.0,17.0,87,random,3
54,0,10,0,0.0,36,17.0,17.0,72,random,3
55,0,10,0,0.0,66,17.0,17.0,56,random,3
56,0,10,0,0.0,44,17.0,17.0,74,random,3
57,0,10,0,0.0,74,17.0,17.0,67,random,3
